club_name,club_description,page_url
Office of Veterans and Military Affairs,"The Office of Veterans and Military Affairs is committed to supporting the Lehman College’s VA student’s community in pursuit of their higher learning degree for their professional development by identifying, addressing, and advocating for their evolving needs. We do this by exceptional programming and mentorship ensuring compliance with College, University, and the Veteran Affair’s educational benefits regulations.Military Friendly School - 2019-2010 Award The Office of Veterans and Military Affairs office is a resource center for topics related to your VA benefits as well as your academic affairs. Our office supports Service members, Veterans and dependents in applying for and managing your VA Education Benefits. In addition to the VA benefits enrollment certification, we also serve as a centralized resource for inquiries about other VA benefits, including but not limited to: providing guidance in the resolution of VA payment issues; current and updated information regarding VA Education Benefits; points of contact at the VA; and keeping you informed of any changes that may impact your education benefits. We also provide programmed events throughout the academic year in order to provide opportunities for networking with fellow Veterans, the Lehman College’s community, and potential employers. We provide awareness and referrals to any internal/external resources in support of your evolving needs. We are heavily focused on building and strengthening camaraderie within the Lehman College’s VA student’s community.",https://lehman.campuslabs.com/engage/organization/officeveteransmilitaryaffairs
The Pre-Dental Club ,"This organization serves as a way to bring together students of common interest in dentistry. The pre-dental club provides a community feeling, benefits, and necessities such as meetings with dental providers, advice for dental school applications and undergrad period, a list and summary of dental schools with facts about various commonly known wonderings, networking opportunities, and a safe space for questions, suggestions, and opinions.",https://lehman.campuslabs.com/engage/organization/predentalclub
ASEZ - Save the Earth from A to Z,"ASEZ, or SAVE the Earth from A to Z, is an international group at Lehman College that consists of university student volunteers affiliated with the Church of God.  ASEZ strives to actively carry out diverse projects for the achievement of UN SDGs.Sustainable Development Goals (SDGs), are an agenda adopted by the United Nations in 2015 and a common goal of the international community for the sustainable development of humanity. Under the idea “Leave no one behind,” SDGs contains 17 goals, 169 targets, and 230 indexes that the UN Member States have agreed to implement by 2030.The word ‘SAVE’ in ‘SAVE the Earth from A to Z’, is an acronym for Social service, Awareness raising, Victim relief, and Environmental protection. ASEZ participates and strengthens its ownership of the agenda to successfully establish sustainable communities in the college and in the Bronx as whole. ASEZ at Lehman College organizes services to welfare facilities in the neighborhood and promotes awareness on various SDGs. SDGs include but are not limited to crime reduction, poverty, equality, and environmental protection.ASEZ at Lehman College designs and implements activities through the following approaches:Formation of global cooperative efforts through world-wide movements and campaignsEducational programs and seminarsPartnerships with government agencies and officesCollaborations with communities in the Bronx as a whole and other colleges in NYC to achieve SDGs on the local level with Mother’s love.Like a mom who pays attention to her child who needs attention, and comforts her child who needs comfort, we want to deliver Mother’s heartwarming love to our neighbors in the world suffering from all sorts of disasters and troubles.College students are the future policy makers. ASEZ fosters the energy, talents, and ambition of Lehman College students to make lasting changes in accordance with UNSDGs. Through Bible studies, and frequent volunteer and campaign initiatives, ASEZ unites the passion and action of Lehman College students who cherish God’s love, to play a prominent role in contributing to our community through the UN’s SDGs platform.Log into use GingerLimited modeunite the passion and action of Lehman College students×",https://lehman.campuslabs.com/engage/organization/asez
AO.Lehman,No Description Found,https://lehman.campuslabs.com/engage/organization/aonyc
Obscura Literary and Arts Magazine,"Submission Guidelines for Obscura(Email all submissions and inquiries to Obscura.Magazine@lehman.cuny.edu)Obscura accepts work from currently enrolled students, alumni, and staff of Lehman College ONLY. We accept poetry, short stories, short plays, personal essays, and creative nonfiction. We also accept photography, prints, drawing, and photographic representation of other art work, such as paintings or sculptures. However, we do not accept op-ed pieces, current news stories, or other journalistic work.Format for all SubmissionsGeneral:Include a cover letter in proper business letter format addressed to:Editors, ObscuraLehman College-CUNYStudent Life Building, Room 202250 Bedford Park Blvd. WestBronx, NY 10468Must include the title of the work, a brief description of it, a one to two sentence bio, and contact information (name, email address, phone number)Each manuscript submitted should not have the author's/artist's information (all personal information should be in the cover letter).All pages must be numbered.FictionFormat: Typed; double-spaced; 1-inch margins; 12-point Times New Roman or Arial fontLength: maximum 5,000 wordsContent: open; must be original and unpublishedPoetryFormat: Typed; single-spaced; 1-inch margins; 12-point Times New Roman or Arial fontLength: maximum 5 poems per submissionContent: open, must be original and unpublishedArtShould be scanned or saved at a resolution of 300 dpi.If artwork does not belong to you it is your responsibility to obtain permission from the rightful owner(s).All work must be original and unpublished.*All work must be original and may not be previously published. By submitting your work, you are agreeing to these terms and are legally responsible for any misrepresentation on your part.",https://lehman.campuslabs.com/engage/organization/obscura
Africa Students Association,"All Lehman registered students are welcome to join ASA, a Cultural and Ethnic Club. This club was created to bring together communities of the African diaspora. We are here to introduce the Lehman campus community to African cultural diversity and awareness, to support our beliefs and traditions, and to familiarize ourselves with current American social and economic challenges that affect African students and community achievement.",https://lehman.campuslabs.com/engage/organization/lehmanasa
"SEAMLeSS, a Title V Program ","SeamlessEducationalAdvancement toMaximizeLehmanStudentSuccess (SEAMLeSS Program) is a U.S. Department of Education Title V Grant under the HSI Division of Developing Hispanic Institutions. Housed under the School of Health Sciences, Human Services, and Nursing; our aim is to support student success in their academic and after Lehman career journey.SEAMLeSS aims to help support students at Lehman College in achieving their college goals by providing students with paid internship on campus, supportive academic coaching, and necessary professional hard and soft skills. SEAMLeSS also looks to invest in student's long term personal success by offering life skills learning opportunities in areas like personal finance, career development tools, and post-graduation success planning.If you are interested or looking for more information about eligibility, requirements, etc. email the SEAMLeSS Project Administrative Coordinator Milagros Tejada atmilagros.tejada@lehman.cuny.eduor the Project Director Jonah Dill-D'Ascoli atjonah.dilldascoli@lehman.cuny.edu",https://lehman.campuslabs.com/engage/organization/seamless-hs2n
School of Arts and Humanities ,"Mission, Vision & ValuesMissionLehman College's School of Arts and Humanities mission is to make a significant contribution to the larger institutional mission to provide students with an excellent undergraduate and graduate liberal arts education because being broadly educated is a primary attribute of leading a successful life.VisionThe school's vision is for the collective academic departments to offer outstanding quality undergraduate and graduate degree programs, minors, and courses in Africana Studies; Art; Dance and Theatre; English; History; Journalism and Communication; Languages and Literatures; Latin American, Latino, and Puerto Rican Studies; Music; and Philosophy.ValuesWe value instilling students with employer valued critical thinking, problem solving, creativity, and collaboration skills within the context of our faculty designed degree programs, minors and courses.",https://lehman.campuslabs.com/engage/organization/schoolofartsandhumanities
National Student Speech Language and Hearing Association,"The purpose of the National Student Speech Language and Hearing Association-Lehman Chapter Club is to inform undergraduate and graduate students about the various opportunities this field has to offer. Through lectures, dinners, co-sponsored events and fundraisers, the club offers hands-on experiences to Speech-Language Pathology and Audiology students.",https://lehman.campuslabs.com/engage/organization/nationalstudentspeechlanguagehearingassociationlc
African Nursing Students Association - Lehman Chapter,The African Nursing Student Association welcomes all cultures and ethnic backgrounds.The African Nursing students Association also known as ANSA welcome all cultures and ethnic backgrounds. Our mission is to provide an educational awareness and to encourage more African students to remain focused and to become nurses.,https://lehman.campuslabs.com/engage/organization/africannursingstudentsassociationlc
Minority Association of Pre-Health Students,"The Minority Association of Pre-Health Students (MAPS) is committed to supporting current and future underrepresented minority pre-health students, and addressing the needs of the underserved Bronx community.",https://lehman.campuslabs.com/engage/organization/maps
Career Exploration & Development Center,"MissionThe Career Exploration & Development Center (CEDC) assists Lehman students and alumni with all phases of their career development, to help them transition from college to career. This includes career exploration and counseling, deciding on a major, employer connections and internships.  We strive to provide the highest standards of comprehensive and specialized services so that students may successfully meet the challenges of a globally competitive job market.Office HoursMonday 9:00am – 5:00pmTuesday 9:00am – 8:00pm *Wednesday 9:00am – 8:00pm *Thursday 9:00am – 8:00pm *Friday 9:00am – 5:00pmSaturday 10:00am – 2:00pm ** Extended hours available only when classes are in sessionContact UsShuster Hall, Room 254Phone: 718.960.8366Email:career.services@lehman.cuny.edu",https://lehman.campuslabs.com/engage/organization/cedc
Lehman Latinx Medical Student Association (PLUS),No Description Found,https://lehman.campuslabs.com/engage/organization/lehmanlmsa
Club Curls,"Our club is about awareness, education, and encouragement with textured hair. We’ll be creating a community where we all will be sharing tips and methods for our hair. While also educating and spreading awareness about hair discrimination that is prevalent society.",https://lehman.campuslabs.com/engage/organization/clubcurls
Seekers Christian Club,"Our mission is to show the love of Jesus and live out His teachings as believers. As fellow students who understand how hellish life can be, we know how real pain is and just how great it can be — we have found that the hope found in Jesus is greater. You are loved. Come join us, let's be friends!",https://lehman.campuslabs.com/engage/organization/seekerschristianclub
Nursing Students Association,The Mission of the Nursing Students Association is to unite all students interested in pursuing nursing as a career and to enable socialization and communication of these students as well as the community at large. NSA provides mentor-ship services to newly enrolled nursing students to help guide students with the curriculum. The NSA also encourages development of professional leadership in nursing as well as health promotion services. All currently enrolled students who are interested in nursing are eligible for membership in the organization and must be in good standing with Lehman College.,https://lehman.campuslabs.com/engage/organization/nursingstudentsassociation
Lehman Crystal Queer ,"This club is meant to cultivate a safe, inclusive space for the diverse community at Lehman College. Specifically, this club will address issues relating to students who identify as Queer, LGBTQIA, gender non-conforming. Our mission is to interact with the student body via forum-like meetings, where students and members can come to experience a sense of community amidst their fellow students and professors.",https://lehman.campuslabs.com/engage/organization/lehmancrystalqueers
Lehman Gaming Club,No Description Found,https://lehman.campuslabs.com/engage/organization/-gamingclub
SGA's Committee for Co-Curricular Development,"What is the Purpose of the Club Committee?  As noted in its bylaws...It shall be responsible for the disbursement of funds to the duly registered clubs and organizations on campus and shall make provisions for these groups to gain access to funding by establishing clear guidelines and regulations it deems necessary for such student groups to achieve that end.  In doing so, Co-curricular Committee shall be accountable for theevaluation of the nature of events, programs, initiatives and ventures sponsored by campus clubs, organizations and student groups that require financial backing. It shall also be responsible to promote cosponsored events in order to reduce the amount of reduplicated eventsIt shallstrive to address the concerns of registered clubs and organizations that contribute to the diversity of the Lehman College experience.It shall work with campus clubs, organizations and student groups in order to provide support and promote leadership training whenever possible.It shall investigate ways and means of increasing the funds of Co-Curricular Committee organization and pursue meaningful ways of raising revenue to achieve fundraising goals",https://lehman.campuslabs.com/engage/organization/ccd
Blueprint to Success (Cohort 4) ,The Blueprint to Success (BTS) initiative is a comprehensive roadmap of support services open to all Lehman College students. BTS is organized under five themes. A digital badge will be awarded for completing each theme through Credly. All offerings are promoted and tracked throughClub Central.The five themes are listed below:1. Pre-first year/semester (Bridge)2. First-year/semester (Engagement)3. Second-year/semester (Pathways)4. Third-year/semester (Achievements)5. Fourth-year/semester (Mobility),https://lehman.campuslabs.com/engage/organization/blueprint-to-success-cohort-4
Lehman College Nutrition Club,"The primary mission of the Lehman College Nutrition Club (LCNC) is to provide networking, volunteer, and other opportunities to students majoring in Dietetics, Foods & Nutrition (DFN) by helping them explore plant based foods to help them become healthier and conducting onsite educational/informational sessions in order to enrich and supplement their in-class learning. In addition, LCNC seeks to provide DFN students with hands-on experience in sharing their classroom knowledge with the Lehman community through interactive faculty and student events and guest speaker programs.",https://lehman.campuslabs.com/engage/organization/lehmancollegenutritionclub
EMPOWER-U,"EMPOWER -U is a representative organization that creates leaders and nurtures their talents and interests, especially in art and entrepreneurship. We advocate for and on behalf of all students, Moreover, We provide guidance and mentorship to students, helping them realize their full potential and become entrepreneurial in pursuing their career aspirations through services such as:Workshops on entrepreneurship in the arts.Networking events with industry professionals.Artistic skill-building workshops and exhibitions.Career counseling and resume-building workshops.Access to resources and funding opportunities for art-related projects.EMPOWER -U is a representative organization that creates leaders and nurtures their talents and interests, especially in art and entrepreneurship. We advocate for and on behalf of all students, Moreover, We provide guidance and mentorship to students, helping them realize their full potential and become entrepreneurial in pursuing their career aspirations through services such as:Workshops on entrepreneurship in the arts.Networking events with industry professionals.Artistic skill-building workshops and exhibitions.Career counseling and resume-building workshops.Access to resources and funding opportunities for art-related projects.",https://lehman.campuslabs.com/engage/organization/empower-u2023
The S-STEM Club,"This club is a dedicated place for Lehman students with an interest in STEM, Science Technology Engineering and Math. The club is associated with the S-STEM program at Lehman, which is funded by the National Science Foundation. The club meets regularly to discuss STEM research, job opportunities, and opportunities for community service. We aim to educate ourselves and others in the Lehman community by exposing students to the beauty of science.",https://lehman.campuslabs.com/engage/organization/s-stem
Students for Justice in Palestine,No Description Found,https://lehman.campuslabs.com/engage/organization/sjpalestine
Black Legacy,"Black Legacy is a political organization that seeks to organize and mobilize the Pan-African communities both on campus and in our communities at large, in order to engage in our struggle for human rights and self-determination.",https://lehman.campuslabs.com/engage/organization/blacklegacy
Lehman College Food Pantry,"Lehman’s Food Pantry strives to provide the Lehman student population with nutritional support. The food pantry was born as an initiative of the students of the Herbert H. Lehman Center for Student Leadership Development Advanced Class of Fall 2014. To participate in the services that the pantry offers, join our:1) currently active service registration:https://lehman.edu/student-leadership/lehman-food-bank.php2) currently inactive service booking site at:https://lehmanfoodbank.setmore.com/Do not request to join the Campus Link membership for the pantry because we are an office, not a club so no need to join. Just register for the service at the active link above.Follow us on social media for announcements as well.",https://lehman.campuslabs.com/engage/organization/food-pantry
Chess club,"We, the members of the Chess Club, aim to promote the game of chess, foster friendship and sportsmanship, and provide an inclusive and enriching environment for chess enthusiastsNosotros, los miembros del Club de Ajedrez, tenemos como objetivo promover el juego de ajedrez, fomentar la amistad y el espíritu deportivo y brindar un ambiente inclusivo y enriquecedor para los entusiastas del ajedrez.",https://lehman.campuslabs.com/engage/organization/chessclub
The Lehman Dance Ensemble ,"The Lehman Dance Ensemble is a club at Lehman College, and our mission is to make dance accessible to everyone, regardless of experience or background. Our club offers monthly workshops in various styles, from contemporary and hip-hop to ballet and cultural dances, ensuring there's always something new and exciting to learn. Join us at the Lehman Dance Ensemble to explore the art of dance, connect with fellow enthusiasts, and be part of a welcoming and diverse dance family.",https://lehman.campuslabs.com/engage/organization/lehmandanceensemble
Social Work Club,"To build peer mentorship where we will grow and support one another while immersing in diversity dialogues.To practice your leadership and social work skills by discussing practices that advance social, economic, and environmental justice.To leave a foundation and legacy for future social work students at Lehman.To receive support from the Social Work Club’s Advisor.",https://lehman.campuslabs.com/engage/organization/socialworkclub
The Biology Club of Lehman College,"The mission of the Lehman Biology Club is to unite students at Lehman college that share an interest in Biology beyond the class. We want to build a community that provides networking opportunities, scholarships, internships, and even help with schoolwork. We are more than just a club, we are a family. The biology club is open to every Lehman student. Join today to create lasting memories!",https://lehman.campuslabs.com/engage/organization/lcbiologyclub
The Francophone Club ,"The French Club welcomes and promotes an interaction between all Lehman College students interested in Francophone cultures and the French language. Social gatherings aim to help students practice French in a community of other Francophone students at Lehman, and people all around the city.We encourage you to relieve yourself from stress and have fun socializing with people from school and all over the city, and to have some fun by joining the French Club!",https://lehman.campuslabs.com/engage/organization/thefrenchclub
Lehman Crown and Beyond,"The beauty pageant club is a celebration of poise, confidence, and individuality. Members engage in activities such as perfecting their walk, building public speaking skills, and participating in community service. The crowning moment is a highlight, symbolizing
 grace, achievement, and the hard work of contestants. The club also fosters friendships, self-expression, and the development of personal goals, making it more than just about the crown—it’s about growth and empowerment",https://lehman.campuslabs.com/engage/organization/http
Mycology Club,"The mycology club is dedicated to the exploration of mushroom growing. We will learn about growing techniques, grow our own mushrooms and cook and eat what we grow. We will hold a workshop led by Chef Mario Landaverde and learn how to cook the different mushrooms that we grow.",https://lehman.campuslabs.com/engage/organization/mycology
Herbert H. Lehman Center for Student Leadership Development,"The Herbert H. Lehman Center for Student Leadership Developmenthelps students develop their potential as leaders through a comprehensive program of mentoring, skills-building workshops, team-building activities, retreat and community service.  Participants will also have the opportunity to demonstrate their personal growth on and off campus-in real-world settings where you can make a difference in people’s lives.The Center provides workshops, retreats and group discussions to help students:•   Explore the basics of different leadership styles and theories•   Examine the Social Change Model of Leadership Development•   Identify personal leadership practices and how to use them effectively•   Incorporate ethics and integrity into principles of management•   Develop the skills necessary for empowering and motivating a group•   Embrace diversity as a core principle of leadership•   Integrate community service into the overall concept of leadership development•   Identify ways in which leaders can manage stress and balance work-life responsibilities•  Develop a personal approach to effective leadershipLeadership-Track #1 ProgramTrack #1 begins by helping students examine their responsibilities and expectations as a student at Lehman College.  Over the course of the semester, participants will start to acquire specific skills to achieve their short-term and long-term goals.  Through group discussions, journal assignments, readings and community service experience, students experience firsthand the impact leadership can have on their lives and the lives of those around them.  Together, students will explore a number of topics such as:*Understanding Leadership: What Is It? Why Is It Important? How Do You Get Started?*Choosing the Right Way: Ethics and Integrity in Leadership*Keeping It Together: Increasing, Empowering and Motivating Membership*Leadership and Diversity: Understanding and Appreciating the Differences That Unite Us*Building A Better Tomorrow: Making A Difference Through Service*Running On Empty: Maintaining the Mind, Body and Soul of a Leader*So What’s Next? Knowing Where You Are and Where You Want To GoLeadership-Track #2 ProgramStudents who successfully complete Track #1 and are looking for a deeper understanding of their own leadership potential are eligible to move on to the Track #2 Program, where we begin to examine the concept of “shared leadership.”  With a greater emphasis on community service and mentoring, students have a number of opportunities to apply their knowledge and skills as leaders.  Over the course of the semester, participants in the Track #2 Program will help to educate a new group of student leaders and, at the same time, give back to Lehman College and their community.The “A+” ProgramThe “A+” Program consists of stand-alone workshops aimed at key topics in leadership.  The workshops are open to all members of the Lehman College, and utilize of combination of case studies, role play and small group activities to explore each topic.  Past topics have included: effective communications; running better meetings; team-building; financial manage",https://lehman.campuslabs.com/engage/organization/herberthlehmancenterforstudentleadershipdevelopment
 The School of Education at Lehman College ,"The School of Education (SOE) badge provides information and learning experiences related to careers in education. Prospective education students learn about teaching opportunities, academic major and education minor program pathways, support programs, and certification requirements to become successful teachers.Lehman Urban Transformative Education (LUTE)Education holds the transforming power - of individuals and society. Our efforts to educate are shaped by the SOE Lehman Urban Transformative Education core purposes:· to understand difference and diversity as foundations for learning and teaching;· to work collaboratively to create ideas that incorporate and/or represent multiple perspectives;· to create a place where human relationships are valued and nurtured;· to create an environment that is responsive to change and needs.Our mission is to facilitate the development of competent, caring, qualified educators.How to earn the School Of Education Engagement Badge, instructions for students:In order to earn the School of Education (SOE) Engagement badge, students must attend 4 out of 7 SOE events between August 28th, 2024 - May 22nd, 2025.*Earned badges can be added to your LinkedIn profile and your resume*How to add your badge to your resume:CertificationsSchool Of Education Blueprint To Success Engagement Badge, Lehman College                                      DateNeed help with your resume?Career Exploration & Development Center-Shuster Hall, Room 254.Phone: 718-960.8366     Email: career.services@lehman.cuny.eduGet help with: Personalized career counseling; Résumé and cover letter assistance; Workshopson interviewing, job-search strategies, networking; Internship, community service, and servicelearning opportunities. @lehmancareersExperiential Learning Portal– Internships, Jobs, and Life-Long Learning Opportunities",https://lehman.campuslabs.com/engage/organization/theschoolofeducation
Financial Learning Group ,"We hold weekly meetings to explore various financial services and present them to our new members. We also invite guest speakers, both in person and online, to delve deeper into the topics we've discussed, providing additional insights. Our primary goal is to introduce our members to a wide range of financial services and products, including budgeting, savings, investing, retirement planning, and more. We aim to help them become more confident in discussing these topics, ultimately equipping them with the knowledge to achieve wealth and financial independence. Our club is excited to introduce a new topic of discussion:Fundamental Analysis. This addition will expand our regular meetings, adding an extra day dedicated to exploring the principles of analyzing a company's financial health, competitive advantages, and overall market potential. Fundamental analysis is a crucial skill for anyone interested in investing, as it involves evaluating financial statements, industry conditions, and economic factors to determine a company's intrinsic value. By mastering this topic, our members will gain a deeper understanding of how to make informed investment decisions, further empowering them on their journey to financial independence. FLG will now have two meeting days a week, and possibly more depending on collaborations with other clubs. FLG currently has 12 board members and is planning on adding more.",https://lehman.campuslabs.com/engage/organization/flg
The Music Club,"Our aim is to create a serene environmental atmosphere of relaxation through music, to entertain, network and enhance social cohesion among the student body as well as providing a practice space for students on campus.",https://lehman.campuslabs.com/engage/organization/themusicclublc
Association of Latino Professionals For America,"ALPFAstands for Association of Latinos Professionals For America. ALPFA is the largest Latino association for professionals and students.ALPFA Lehman develops high-achieving individuals to lead in all professional industries. Since 2006, the Lehman College ALPFA chapter has striven to continue working towards the organization's mission. Through our relationship, skill, and talent-building events, workshops, and programs, we focus on helping the ambitious students at Lehman College achieve their goals. We aim to be the premier professional development organization for students of every personal and professional background and aspiration.How do I join a Student Chapter?Start by Filling out this form:ALPFA Lehman New Member Sign-up FormReach out to any board member belowJoin our Club Central Page by clicking join at the top of the pagePlease get in touch with our Director of Membership,Diego Romero,and Co-director of membership, Mostakin Miah,if you have any membership-related questions.Board MemberKelly Pillcorema- Kpillcorema.alpfalc@gmail.com (President)Adrian Lucero -Alucero.alpfalc@gmail.com (Vice-President)Rion Montgomery -Rmontgomergy.alpfalc@gmail.com (Treasurer)Kevin Perez -Kperez.alpfalc@gmail.com (Secretary)Justin Mendy-Jmendy.alpfalc@gmail.com (Professional Development)Jahtoya Spence -Jspence.alpfalc@gmail.com (Professional Development)Franklin Perez- Fperez.alpfalc@gmail.com (Director of Marketing)Diego Romero-Dromero.alpfalc@gmail.com (Director of Membership)Eileen Mazariegos -Emazariegos.alpfalc@gmail.com (Director of Events)Alfredo Rosario -Arosario.alpfalc@gmail.com (Director of IT)Daniel Santana -Dsantana.alpfalc@gmail.com (Director of Fundraising)Felix Santos -Fsantos.alpfalc@gmail.com (Director of Community Outreach)Wilkanya Gonzalez -Wgonzalez.alpfalc@gmail.com (Co-Director of Marketing)Lorelys Alvarez -Lalvarez.alpfalc@gmail.com (Co-Director of Marketing)Mostakin Miah -Mmiah.alpfalc@gmail.com (Co-Director of Membership)Altagracia Fernandez -Afernandez.alpfalc@gmail.com (Co-Director of Events)Molly Varillas -Mvarillas.alpfalc@gmail.com (Co-Director of Fundraising)",https://lehman.campuslabs.com/engage/organization/alpfa
The Economics Club,"The purpose of the Economic club at Lehman College is to create a deeper connection among Economic students and professors, to foster a community-like atmosphere and cultivate comradery as well as to create a network for students, alumni and professors.
 It aims to create a fun environment for students (all majors welcomed) to learn about Economics.",https://lehman.campuslabs.com/engage/organization/economicsclub
Mexican Student Society,The Mexican Student Society is a student-led club working closely with the Mexican Studies Institute in pursuit of decreasing the educational attainment gap within the Mexican community. We aim to cultivate a sense of community to support and empower one another throughout our college journey.,https://lehman.campuslabs.com/engage/organization/mexican-student-society
"School of Health Sciences, Human Services and Nursing (HS2N)","About the SchoolWelcome to the School of Health Sciences, Human Services and Nursing (HS2N) at Lehman College of the City University of New York.HS2N promotes community partnerships and experiential learning opportunities for our students with long-standing collaborations with exceptional hospitals and community-based organizations throughout the Bronx, New York City, and beyond.Health is the largest source of jobs in the United States. Of the 10 jobs that theBureau of Labor Statisticsprojects will see the fastest percent growth from 2016-2026, five are in health care and elderly assistance.Students in HS2N programs are well positioned to enter the health care and human services workforce in a variety of roles. I welcome you to explore our six departments and below are the chairs of each of our departments.Mission StatementThe mission of the School of Health Sciences, Human Services, and Nursing (HS2N) is to educate the next generation of leaders in the health sciences, human services, and nursing. We aim to prepare health care professions that promote and improve the health and well-being of individuals, families, groups, and communities in a diverse global society, with special emphasis on urban populations. Our mission is reflective of the mission of Lehman College at City University of New York in that HS2N graduates are:Educatedas health service administrators, exercise scientists, health educators, nutritionists and registered dietitians, recreation and therapeutic recreation educators, registered nurses and advanced practice registered nurses, social workers, and speech language pathologists who are confident, ethical and independent thinkers who are culturally sensitive to the needs of the citizens in our local and regional communities; andEmpoweredas expert thinkers in their discipline, adept at facilitating local, national, and global health-care access; andEngagedas informed and prepared citizens and professionals to work with underserved urban communities and populations, addressing any and all challenges affecting the health and welfare of individuals and communities by using communication tools that speak to our diverse local and urban communities.HS2N 90x30 PledgeHS2N’s students, faculty, and staff pledge commitment to:Health equity and wellbeing of the citizens in the Bronx and beyond; andData-driven advocacy and programs that promote social and environmental justice policies within and across our region, with and for the citizens of the Bronx and beyond; andConducting research designed to further our ability to understand and enhance health and wellness of the community and beyond.",https://lehman.campuslabs.com/engage/organization/school-of-health-sciences-human-services-and-nursing-hs2n-
The Medical SLP Alliance,"The Medical SLP Alliance is for those interested in medical topics within speech-language pathology. The objective of the club is to expose interested students to nuanced medical topics through guest speakers, discussion panels and enriching club events.",https://lehman.campuslabs.com/engage/organization/medical_slp_alliance
"The School of Health Sciences, Human Services & Nursing at Lehman College ","The mission of the School of Health Sciences, Human Services, and Nursing (HS2N) is to educate the next generation of leaders in the health sciences, human services, and nursing. We aim to prepare healthcare professions that promote and improve the health and well-being of individuals, families, groups, and communities in a diverse global society, with special emphasis on urban populations. Our mission is reflective of the mission of Lehman College at City University of New York in that HS2N graduates are:Educatedas health service administrators, exercise scientists, health educators, nutritionists and registered dietitians, recreation and therapeutic recreation educators, registered nurses and advanced practice registered nurses, social workers, and speech-language pathologists who are confident, ethical, and independent thinkers who are culturally sensitive to the needs of the citizens in our local and regional communities; andEmpoweredas expert thinkers in their discipline, adept at facilitating local, national, and global healthcare access andEngagedas informed and prepared citizens and professionals to work with underserved urban communities and populations, addressing any and all challenges affecting the health and welfare of individuals and communities by using communication tools that speak to our diverse local and urban communities.HS2N 90x30 PledgeHS2N’s students, faculty, and staff pledge commitment to:Health equity and well-being of the citizens in the Bronx and beyond; andData-driven advocacy and programs that promote social and environmental justice policies within and across our region, with and for the citizens of the Bronx and beyond, andConducting research designed to further our ability to understand and enhance the health and wellness of the community and beyond.",https://lehman.campuslabs.com/engage/organization/theschoolofhealthsciences
Basic Needs Center,"Welcome to the Basic Needs CenterThe Lehman College Basic Needs Center provides essential resources to help students address challenges and flourish in and outside of the classroom.What are Basic Needs (BN)?We define Basic Needs as the essential resources that impact one’s health, sense of belonging, persistence, and overall well-being related to:Food InsecurityStable HousingFinancial SustainabilityTransportationQuality HealthcareMental Health & WellnessAdvocacySocial JusticeCareer ClosetThe Basic Needs Center, centralizes and streamlines access to many of the existing supports and services available to all Lehman College students. The Center connects students to essential services including:Food PantryBasic Needs Support Grants (including Emergency Grants)Student Device Loaner ProgramCampus LifeCareer Exploration and Development CenterChildcare CenterCounseling CenterStudent Disability ServicesStudent Health CenterUrban Male Leadership ProgramVeterans and Military AffairsWellness Education and Promotion",https://lehman.campuslabs.com/engage/organization/student-affairs-cares
Muslim Students Association,"MSA is a Muslim organization at Lehman College. It exists as a social group for the Muslim students to maintain their faith, pray, and share their spiritual knowledge with other fellow members, and for non-Muslims to better understand the beauty of the religion. MSA events will be held to promote a better understanding of Islam and to form a unity among all students at Lehman College. Look out for these upcoming social events. Look us up on Facebook (Lehman MSA) and join us in our room in the Student Life Building Room 215 to learn more.",https://lehman.campuslabs.com/engage/organization/msa
URBAN UNITY LEHMAN,"The purpose ofURBAN UNITY LEHMAN is to unite and collaborate with allclubs' departments and organizations on Lehman Campus/CUNY to create a safespace for all CUNY students through events, workshops, and leadershiptrainings/activities. We plan to create and recruit more leaders for the bettermentand future of our campus community.",https://lehman.campuslabs.com/engage/organization/urbanunity
ColorStack x Computer Science Club @ Lehman College,"ColorStack x Computer Science(CSxCSC) unites technology enthusiasts on the Lehman campus, fostering a supportive community. Our mission is to support, empower, and celebrate leaders in technology. Addressing tech challenges, we inspire underrepresented students to explore opportunities in the field. CSxCSC promotes career growth through mentorship, community events, talks, workshops, and conferences, encouraging the pursuit of educational and professional paths in the dynamic realm of ColorStack x Computer Science.To learn more about our exciting collaboration with ColorStack, visithttps://www.colorstack.org/.",https://lehman.campuslabs.com/engage/organization/lehmancs
Google Developer Group - Lehman ,"Are you looking to connect with fellow students interested in technology? In partnership with Google, the Google Developer Group (GDG) at Lehman College is your place! We're a community for college and university students of all skill levels who want to learn about Google's developer technologies. From campus tours and networking events to hands-on workshops, Developer festivals, Hackathons, Trivia nights, and more, we offer a supportive environment to learn and grow together.",https://lehman.campuslabs.com/engage/organization/gdg-lehman
The Chemistry Club,"The purpose of the Chemistry Club is to grow in enlightenment and foster a learning environment for chemistry students to flourish; as well as to raise, stimulate, and promote awareness of the wonderful world of chemistry science! We plan to expand our club as an ACS chapter and SACNAS chapter at Lehman college. Our mission is to build a diverse community of students interested in chemistry and provide a communal learning space filled with wide range opportunities that will both aid us in networking expansion and promote chemistry students growth professionally.",https://lehman.campuslabs.com/engage/organization/chemistry_club
History Club,"The purpose of the History Club is to discuss topics about history, make friends who are interested in history, and create an environment where people can discuss history their interest in history and give advice to those who are unsure of what they want to pursue in history. Please feel free to email lehmancollegehistoryclub@gmail.com if you're interested.",https://lehman.campuslabs.com/engage/organization/historyclub
